编号,题名,作者,年份,来源,主题组,关键词,研究问题,核心论点,方法材料,案例,概念,原文库内路径,原始路径,页数,SHA1,抽取/整理可信度
11,小农的韧性：个体、社会与国家交织的建构性特征：云南省勐腊县河边村疫情下的生计,李小云、林晓莉、徐进,2022,农业经济问题 2022年第1期,农政问题与小农社会,韧性小农、疫情风险、农户生计、再农化、脱贫攻坚,疫情冲击下，贫困村小农为何没有简单返贫，而能维持基本生计稳定。,河边村新业态受疫情打击后，农户通过再农化与多元生计策略补偿风险。小农韧性不是固有品质，而是个体、国家和社会在特定政治经济条件下共同建构出的状态。,村庄案例与生计分析。,云南省勐腊县河边村疫情下的收入、消费和生计转型。,韧性小农、再农化、多元生计、个体-社会-国家协同,原文/11_李小云林晓莉徐进_小农的韧性.pdf,C:\Users\admin\Downloads\小农的韧性：个体、社会与国家交织的建构性特征——云南省勐腊县河边村疫情下的生计_李小云.pdf,13,88d83c9a2803,高。文本可直接抽取。
12,如何促进小农户与现代化大农业发展有机衔接？基于平台生态系统包容性创新的案例研究,汪旭晖、卢星彤、张建军,2025,管理世界 2025年第11期,小农组织化与农业现代化,小农户、现代化大农业、包容性创新、平台生态系统、咖啡产业,平台生态系统如何帮助小农户跨越市场接入、能力提升和价值开发障碍。,拼多多平台生态系统在云南保山潞江镇咖啡产业中，通过市场进路疏通、产业适应性重构和价值共同体建构，推动小农户获得机会、弥合差异并实现位势跃迁，形成“生态共创式”包容性创新。,案例研究；障碍识别、机制解构、效应分析框架。,拼多多平台生态系统重塑云南保山潞江镇咖啡产业。,平台生态系统、包容性创新、价值共同体、位势跃迁,原文/12_汪旭晖卢星彤张建军_平台生态系统包容性创新.pdf,C:\Users\admin\Downloads\如何促进小农户与现代化大农业发展有机衔接？——基于平台生态系统包容性创新的案例研究_汪旭晖.pdf,28,99222d6591e3,高。文本可直接抽取。
13,谁来组织小农：制度型中介组织推动小农组织化的行动机制研究,文宏、梁家婧,2026,农业经济问题 2026年第4期,小农组织化与农业现代化,大国小农、制度型中介组织、新型农业经营主体、小农组织化、行动机制,在国家、市场和社会之间，谁能有效组织分散小农。,新型农业经营主体可作为制度型中介组织，承担经济组织与社会组织双重职能。其行动正当性来自政策授权、适度规模和社会认可，并通过政策转译、市场增值、社会网络动员和乡村内生规约推动小农组织化。,制度逻辑与结构-行动理论框架；柏桥实践案例。,柏桥村荔枝产业从分散经营到嵌入赋能、提质增效的实践。,制度型中介组织、合法合理合情、政策转译、乡村内生规约,原文/13_文宏梁家婧_谁来组织小农.pdf,C:\Users\admin\Downloads\谁来组织小农_制度型中介组织推动小农组织化的行动机制研究_文宏.pdf,16,90fea3297ebf,高。文本可直接抽取；同名CAJ作为附件保留。
14,国家、市场、技术与小农社会的互动：关于小农和乡村续存与发展的社会学笔记,徐进、李小云、张瑶,2026,开放时代 2026/03,农政问题与小农社会,小农命运、乡村续存、空间叠合、生计转型、劳动重塑,在现代化叙事中的“农民终结”之外，如何理解小农和乡村的续存与发展。,河边村呈现的不是回到过去的复兴，而是新乡村与新农民的生成。生产生活空间叠合、生计多元化和新乡土性劳动重塑，为小农续存提供基础；国家、市场与技术则条件性地再造乡村空间、生计模式和劳动形态。,社会学笔记式案例分析。,西南山区河边村。,新乡村、新农民、空间叠合、新乡土性劳动,原文/14_徐进李小云张瑶_国家市场技术与小农社会互动.pdf,C:\Users\admin\Downloads\国家、市场、技术与小农社会的互动——关于小农和乡村续存与发展的社会学笔记_徐进.pdf,18,e34c753eaabf,高。文本可直接抽取。
15,小农户与现代农业发展之路：以费孝通的合作经济思想为中心,周丹丹、李文恒,2025,中国农史 2025年第6期,农政问题与小农社会,小农户、现代农业、合作经济、费孝通、乡村社会有机体,费孝通早期合作经济思想如何为今天小农户与现代农业衔接提供历史视野。,费孝通以农村合作经济回应小农户现代化，重点不只是经营效率，而是社会结构再组织化、乡村社会有机体以及人的整全性和非工具性价值。,思想史与文本分析。,1932-1934年费孝通以费达生口吻撰写的合作经济相关文章，及其与《江村经济》《乡土重建》的关联。,合作经济、乡村社会有机体、人的整全性、社会再组织化,原文/15_周丹丹李文恒_费孝通合作经济思想.pdf,C:\Users\admin\Downloads\小农户与现代农业发展之路——以费孝通的合作经济思想为中心_周丹丹.pdf,13,fab7b8d856d4,高。文本可直接抽取。
16,从汲取型政权到“悬浮型”政权：税费改革对国家与农民关系之影响,周飞舟,2006,社会学研究 2006年第3期,国家治理与政农关系,税费改革、国家-农民关系、地方财政、汲取型政权、悬浮型政权,税费改革如何改变基层政府的财政基础、行为模式以及国家与农民的关系。,基层政府从依靠向农村汲取税费维持运转，转为依赖上级转移支付；行为模式从“要钱要粮”转为“跑钱”和借债。基层政权与农民关系因此更为松散，呈现悬浮化。,财政关系分析与多地县乡调研。,2004-2005年湖南、重庆、吉林等地县乡财政与税费改革调研。,汲取型政权、悬浮型政权、跑钱、地方财政,原文/16_周飞舟_从汲取型政权到悬浮型政权.pdf,C:\Users\admin\Downloads\从汲取型政权到“悬浮型”政权——税费改革对国家与农民关系之影响.pdf,39,be9eb6809316,中高。pypdf抽取异常，已用pdf.js回退；首页摘要和基本信息清晰。
17,技“宿”乡土间：农业技术与农民关系嬗变：基于华北一个村庄的经验研究,桑坤,2020,中国农业大学学报（社会科学版）2020年,小农组织化、技术与乡土社会,农业技术、农民、技术担纲者、乡土亲和力、嵌入,农业技术下乡时，技术与农民关系为何会随社会阶段和农民需求发生变化。,文章从华北村庄经验讨论农业技术与农民关系的嬗变，强调技术不是中性的工具，而是在社会关系中被理解、接受或排斥。技术担纲者的乡土亲和力，是降低技术与农民之间距离、推动农业转型的重要条件。,村庄经验研究。,华北一个村庄的农业技术实践。,技术嵌入、技术担纲者、乡土亲和力、农民需求,原文/17_桑坤_技宿乡土间.pdf,C:\Users\admin\Downloads\技“宿”乡土间_农业技术与农民关系嬗变——基于华北一个村庄的经验研究_桑坤.pdf,13,acf7956e8f7a,中。PDF文字识别质量较差；笔记主要依据题名、英文关键词和可读摘要段落整理。
18,场域关联、差序嵌入与信任结构的再生产：基于华北一所科技小院的经验研究,李琳、桑坤,2021,中国农业大学学报（社会科学版）2021年第1期,小农组织化、技术与乡土社会,科技小院、乡土社会、差序嵌入、信任结构、外源组织,外源型农技推广组织如何从乡土社会的外部进入内部，并获得行动空间。,科技小院并非线性地从“外人”变成“自己人”，而是在深嵌与浅嵌之间寻找身份和行动空间。它以关系为策略，在利益与情感维度上差序嵌入，形成从客人到帮手再到伙伴的信任结构。,长期互动过程的经验研究。,华北一所科技小院与农村社区十年互动。,差序嵌入、场域关联、非先赋性信任、伙伴身份,原文/18_李琳桑坤_科技小院差序嵌入与信任结构.pdf,C:\Users\admin\Downloads\场域关联、差序嵌入与信任结构的再生产——基于华北一所科技小院的经验研究_李琳.pdf,13,aa2cf1eb2491,高。文本可直接抽取。
19,合家为伙：小农户农业机械化的社会基础：基于华北一个村落青年农民农机合伙的经验研究,桑坤,2024,开放时代 2024/06,小农组织化与农业现代化,青年农民、农机合伙、行动伦理、农业机械化、家本位,小农户农业机械化为何能够在家庭伦理和市场经营之间形成稳定合伙。,华北村落青年农民农机合伙以房支内伦理关系为基础，结合家庭协作、农工相辅和职业想象。其稳定性来自不计较、不算计、重义轻利的行动伦理，也吸收了现代市场经营特性。,田野研究。,华北一个村落青年农民农机合伙。,合家为伙、农机合伙、行动伦理、家本位,原文/19_桑坤_合家为伙.pdf,C:\Users\admin\Downloads\合家为伙：小农户农业机械化的社会基础——基于华北一个村落青年农民农机合伙的经验研究_桑坤.pdf,20,8542de69f8c0,高。文本可直接抽取。
20,关系社会学：基于中国经验的社会学自主知识体系构建,张文宏、牛梓宁、刘飞,2026,社会学研究 2026年第1期,本土方法论与知识体系,关系社会学、中国经验、理论创新、自主知识体系、社会变迁,如何从中国社会转型实践中发展以关系为核心的社会学视角和自主知识体系。,关系社会学不再把关系视为个体获取资源的外部工具，而是将其作为理解社会行为和社会变迁的分析视角。其发展历程展示了从概念创新、机制发现到理论建构的本土知识生产路径。,理论史和研究传统梳理。,改革开放以来中国关系研究的概念与机制积累。,关系社会学、关系运作机制、理论主体性、自主知识体系,原文/20_张文宏牛梓宁刘飞_关系社会学.pdf,C:\Users\admin\Downloads\关系社会学：基于中国经验的社会学自主知识体系构建_张文宏.pdf,26,11f8ca1c6671,高。文本可直接抽取。
